Date,Ticker,Open,High,Low,Close,Volume
2024-03-05,AAPL,169.95750255670077,171.23148594158673,168.8228606299405,169.3205108642578,95132400
2024-03-05,AMZN,176.92999267578125,176.92999267578125,173.3000030517578,174.1199951171875,37228300
2024-03-05,GOOG,132.2647707393013,133.54018687674454,131.0790287355471,133.30104064941406,28447600
2024-03-05,MSFT,410.8234857245891,411.1112969231929,397.6044321579871,399.59918212890625,26919200
2024-03-06,AAPL,170.256065044738,170.43522699407845,167.88724549652,168.32518005371094,68587700
2024-03-06,AMZN,175.5399932861328,176.4600067138672,173.25999450683594,173.50999450683594,32090900
2024-03-06,GOOG,133.75939657689565,134.25760646628555,131.47758676916078,132.0854034423828,23175200
2024-03-06,MSFT,399.91679432847235,402.0902036474927,395.37150921419715,399.04345703125,22344100
2024-03-07,AAPL,168.35503848083317,169.92761476617306,167.6981518296525,168.20574951171875,71765100
2024-03-07,AMZN,174.8300018310547,177.99000549316406,173.72000122070312,176.82000732421875,34063300
2024-03-07,GOOG,133.41064084313805,135.3337388830001,132.18504879747854,134.7558135986328,24107300
2024-03-07,MSFT,403.04290164123864,406.67517415608603,399.19229481283145,406.0400390625,18718500
2024-03-08,AAPL,168.20574707517525,172.88365534695112,168.1460314883945,169.9276123046875,76114600
2024-03-08,AMZN,176.44000244140625,178.7899932861328,174.3300018310547,175.35000610351562,37853500
2024-03-08,GOOG,134.55153610216772,138.48739082554556,134.3173768675231,135.80203247070312,26472400
2024-03-08,MSFT,404.8689575439801,407.3103404061873,401.2664565057241,403.14215087890625,17971700
2024-03-11,AAPL,172.12725037151972,173.56048535052068,171.2414336396481,171.93814086914062,60139500
2024-03-11,AMZN,174.30999755859375,174.47000122070312,171.47000122070312,171.9600067138672,28484800
2024-03-11,GOOG,136.5792808581865,139.47885116674465,136.5792808581865,138.4425811767578,22536400
2024-03-11,MSFT,400.70079606171487,402.6062316222378,398.21973809181884,401.45501708984375,16120800
2024-03-12,AAPL,172.3362371923594,173.2121062975323,170.20629520329734,172.41586303710938,59825400
2024-03-12,AMZN,173.5,176.75999450683594,171.97999572753906,175.38999938964844,36610600
2024-03-12,GOOG,137.75502702910646,139.77775785522647,137.7151769299223,139.1201171875,19019700
2024-03-12,MSFT,404.5315189350478,412.4212950799544,403.70782104780903,412.13348388671875,22457000
2024-03-13,AAPL,171.9580519129805,172.37607625258147,169.95748841772314,170.3257598876953,52488700
2024-03-13,AMZN,175.89999389648438,177.6199951171875,175.5500030517578,176.55999755859375,30772600
2024-03-13,GOOG,139.55855696946134,141.6809360424644,139.50873293783897,140.26602172851562,19637000
2024-03-13,MSFT,414.9321647542621,415.0115452878592,408.3325562328795,411.95489501953125,17115900
2024-03-14,AAPL,172.0973925529764,173.49080701178275,171.2414336176872,172.1869659423828,72913500
2024-03-14,AMZN,177.69000244140625,179.52999877929688,176.47000122070312,178.75,43705800
2024-03-14,GOOG,141.79052223081538,144.21181473346388,140.97843776624688,143.82321166992188,36117900
2024-03-14,MSFT,417.0558908033508,424.5784751674573,414.8229387375938,421.9981689453125,34157300
2024-03-15,AAPL,170.3655638276482,171.80874633789062,169.48969463541124,171.80874633789062,121664700
2024-03-15,AMZN,176.63999938964844,177.92999267578125,173.89999389648438,174.4199981689453,72115500
2024-03-15,GOOG,142.89656145954595,143.8232245385374,140.62472562261846,141.66099548339844,41025900
2024-03-15,MSFT,416.11311165944556,419.3980298678985,409.6623611748997,413.2648620605469,45049800
2024-03-18,AAPL,174.7448914522954,176.87483361469177,172.70452267737835,172.90357971191406,75604200
2024-03-18,AMZN,175.8000030517578,176.69000244140625,174.27999877929688,174.47999572753906,31250700
2024-03-18,GOOG,148.83522306232322,152.3824751748973,147.60963094571133,147.9484100341797,47676700
2024-03-18,MSFT,411.11127379953496,417.54218646296124,410.644833725834,414.15802001953125,20106000
2024-03-19,AAPL,173.52065910891577,175.77999515234478,172.2168180823409,175.2524871826172,55215200
2024-03-19,AMZN,174.22000122070312,176.08999633789062,173.52000427246094,175.89999389648438,26880900
2024-03-19,GOOG,148.44662927451952,149.08433738873381,146.48368089710854,147.3904266357422,17748400
2024-03-19,MSFT,414.6641794557911,418.4751112612702,412.40145573236146,418.2170715332031,19837900
2024-03-20,AAPL,174.89418909629194,177.830322265625,174.26714497871419,177.830322265625,53423100
2024-03-20,AMZN,176.13999938964844,178.52999877929688,174.63999938964844,178.14999389648438,29947200
2024-03-20,GOOG,148.25729101600973,149.22381941007393,147.1363187737954,149.14410400390625,17730000
2024-03-20,MSFT,418.8026102027015,422.73259778034867,417.4727666861834,422.0081481933594,17860100
2024-03-21,AAPL,176.2179350177799,176.65586961417029,170.03711298613993,170.5646209716797,106181300
2024-03-21,AMZN,179.99000549316406,181.4199981689453,178.14999389648438,178.14999389648438,32824300
2024-03-21,GOOG,149.78183414860183,150.76329307208584,147.48009160046513,148.20748901367188,19843900
2024-03-21,MSFT,426.57326646256405,427.55578606152034,423.9235133811952,426.11676025390625,21296200
